e.g.	例えば
八瀬邉	八瀬邉
八熊	八熊
八牟礼	八牟礼
八牟禮	八牟禮
八牧	八牧
八王	八王
八王地	八王地
八王子	八王子
八甫谷	八甫谷
八田	八田
八田井	八田井
八田原	八田原
八田堀	八田堀
八田羽	八田羽
八田谷	八田谷
八田部	八田部
八田野	八田野
八甲田	八甲田
八町	八町
八畑	八畑
八畝田	八畝田
八畠	八畠
八登	八登
八百	八百
八百三	八百三
八百下	八百下
八百中	八百中
八百井	八百井
八百代	八百代
八百原	八百原
八百坂	八百坂
八百城	八百城
八百屋	八百屋
八百山	八百山
八百川	八百川
八百市	八百市
八百幸	八百幸
八百木	八百木
八百本	八百本
八百村	八百村
八百板	八百板
八百枝	八百枝
八百田	八百田
八百谷	八百谷
八百野	八百野
八的	八的
八矢	八矢
八石	八石
八社宮	八社宮
八神	八神
八穴	八穴
八窪	八窪
八端	八端
八竹	八竹
八符	八符
八筈	八筈
八筬	八筬
八箇	八箇
八篠	八篠
八籏	八籏
八納	八納
八絛	八絛
八綿	八綿
八羽	八羽
八羽毛	八羽毛
八耳	八耳
八聲	八聲
八與	八與
八舟	八舟
八船	八船
八色	八色
八若	八若
八荷	八荷
八萬	八萬
八葉	八葉
八蕪	八蕪
八藤	八藤
八藤丸	八藤丸
八藤後	八藤後
八角	八角
八記	八記
八講	八講
八谷	八谷
八賀	八賀
八起	八起
八越	八越
八車	八車
八軒	八軒
八軒屋	八軒屋
八輪	八輪
八辺	八辺
八辻	八辻
八道	八道
八郎田	八郎田
八部	八部
八部野	八部野
八郷	八郷
八里	八里
八重	八重
八重下	八重下
八重代	八重代
八重倉	八重倉
八重元	八重元
八重原	八重原
八重口	八重口
八重垣	八重垣
八重尾	八重尾
八重山	八重山
八重岡	八重岡
八重岳	八重岳
八重島	八重島
八重崎	八重崎
八重嶋	八重嶋
八重嶌	八重嶌
八重嶽	八重嶽
八重川	八重川
八重幡	八重幡
八重座	八重座
八重木	八重木
八重本	八重本
八重柏	八重柏
八重桓	八重桓
八重桜	八重桜
八重森	八重森
八重樫	八重樫
八重橋	八重橋
八重櫻	八重櫻
八重沢	八重沢
八重津	八重津
八重澤	八重澤
八重田	八重田
八重畑	八重畑
八重盛	八重盛
八重石	八重石
八重練	八重練
八重見	八重見
八重野	八重野
八重門	八重門
八野	八野
八野井	八野井
八野田	八野田
八釖	八釖
八釜	八釜
八釣	八釣
八釼	八釼
八鍬	八鍬
八鎌	八鎌
八長	八長
八間	八間
八間川	八間川
八阪	八阪
八陣	八陣
八陳	八陳
八隅	八隅
八雲	八雲
八雲井	八雲井
八面	八面
八鞍	八鞍
八須	八須
八須元	八須元
八須賀	八須賀
八頭	八頭
八頭司	八頭司
八馬	八馬
八高	八高
八鬼	八鬼
八鳥	八鳥
八鹿	八鹿
八黄地	八黄地
六ケ村	六ケ村
六ツ名	六ツ名
六ツ崎	六ツ崎
六ツ役	六ツ役
六ツ森	六ツ森
六ツ石	六ツ石
六ツ見	六ツ見
六万	六万
六与	六与
六串	六串
六井	六井
六人石	六人石
六人部	六人部
六信	六信
六倉	六倉
六十田	六十田
六十苅	六十苅
六十谷	六十谷
六十里	六十里
六厩	六厩
六名	六名
六呂田	六呂田
六坂	六坂
六塚	六塚
六宗	六宗
六室	六室
六尾	六尾
六山	六山
六岡	六岡
六峯	六峯
六峰	六峰
六崎	六崎
六川	六川
六平	六平
六戸部	六戸部
六日市	六日市
六枝	六枝
六楽内	六楽内
六津井	六津井
六浦	六浦
六田	六田
六碕	六碕
六笠	六笠
六與	六與
六興	六興
六萬	六萬
六藤	六藤
六角	六角
六角屋	六角屋
六谷	六谷
六車	六車
六軒	六軒
六辻	六辻
六連	六連
六野	六野
六釜	六釜
六鎗	六鎗
六門	六門
六雄	六雄
六鹿	六鹿
兵万	兵万
兵三	兵三
兼八	兼八
内一	内一
内之八重	内之八重
内八重	内八重
円一	円一
初一	初一
前三盛	前三盛
副万	副万
加三	加三
加九	加九
加二倉	加二倉
加二谷	加二谷
加五元	加五元
加千須	加千須
加百	加百
加篭六	加篭六
加籠六	加籠六
勘七	勘七
勘六野	勘六野
勝二	勝二
勢一	勢一
勢万	勢万
北一	北一
北七	北七
北八	北八
北八代	北八代
十々木	十々木
十ノ目	十ノ目
十一家	十一家
十一谷	十一谷
十七夜月	十七夜月
十七女	十七女
十七部	十七部
十七里	十七里
十中	十中
十丸	十丸
十久保	十久保
十九川	十九川
十九本	十九本
十九波	十九波
十九浦	十九浦
十九百	十九百
十亀	十亀
十二丁	十二丁
十二役	十二役
十二所	十二所
十二村	十二村
十二林	十二林
十二町	十二町
十二谷	十二谷
十二里	十二里
十二野	十二野
十代	十代
十代田	十代田
十住	十住
十佐近	十佐近
十信田	十信田
十倉	十倉
十倍	十倍
十八公	十八公
十六原	十六原
十六沢	十六沢
十六澤	十六澤
十前	十前
十十木	十十木
十南	十南
十原	十原
十司	十司
十合	十合
十名	十名
十和	十和
十和田	十和田
十場	十場
十塚	十塚
十字	十字
十家	十家
十屋	十屋
十山	十山
十島	十島
十川	十川
十左近	十左近
十市	十市
十府	十府
十役	十役
十徳	十徳
十志田	十志田
十念	十念
十手山	十手山
十持	十持
十握	十握
十文字	十文字
十日市	十日市
十日谷	十日谷
十朱	十朱
十村	十村
十束	十束
十条	十条
十松	十松
十林	十林
十枝	十枝
十枝内	十枝内
十根川	十根川
十森	十森
十楚	十楚
十楽	十楽
十楽寺	十楽寺
十河	十河
十津	十津
十津川	十津川
十玉	十玉
十王	十王
十王寺	十王寺
十王舘	十王舘
十王館	十王館
十田	十田
十石	十石
十祖	十祖
十神	十神
十良	十良
十良沢	十良沢
十良澤	十良澤
十菱	十菱
十萬	十萬
十蔵寺	十蔵寺
十蟹	十蟹
十見	十見
十角	十角
十輪地	十輪地
十返	十返
十連地	十連地
十郎	十郎
十部	十部
十都	十都
十重田	十重田
十野	十野
十門地	十門地
十阿弥	十阿弥
十阿彌	十阿彌
十露木	十露木
十鳥	十鳥
千々和	千々和
千々岩	千々岩
千々布	千々布
千々木	千々木
千々村	千々村
千々松	千々松
千々波	千々波
千々石	千々石
千々谷	千々谷
千々輪	千々輪
千々部	千々部
千々野	千々野
千が崎	千が崎
千ケ崎	千ケ崎
千ノ木	千ノ木
千ノ本	千ノ本
千丈	千丈
千三木	千三木
千上	千上
千且	千且
千並	千並
千中	千中
千丸	千丸
千久田	千久田
千久谷	千久谷
千久間	千久間
千之巣	千之巣
千之木	千之木
千之本	千之本
千井	千井
千井野	千井野
千京	千京
千仏	千仏
千代	千代
千代世	千代世
千代丸	千代丸
千代住	千代住
千代倉	千代倉
千代原	千代原
千代反田	千代反田
千代園	千代園
千代坂	千代坂
千代山	千代山
千代岡	千代岡
千代島	千代島
千代崎	千代崎
千代川	千代川
千代延	千代延
千代政	千代政
千代木	千代木
千代本	千代本
千代村	千代村
千代松	千代松
千代森	千代森
千代樵	千代樵
千代永	千代永
千代沢	千代沢
千代浦	千代浦
千代澤	千代澤
千代田	千代田
千代留	千代留
千代盛	千代盛
千代窪	千代窪
千代薗	千代薗
千代藤	千代藤
千代西尾	千代西尾
千代谷	千代谷
千代野	千代野
千代間	千代間
千代鶴	千代鶴
千伝	千伝
千住	千住
千佐	千佐
千保	千保
千保木	千保木
千俵	千俵
千倉	千倉
千傳	千傳
千僧供	千僧供
千先	千先
千光	千光
千光士	千光士
千光寺	千光寺
千児島	千児島
千切	千切
千切谷	千切谷
千刈	千刈
千利浜	千利浜
千利濱	千利濱
千割	千割
千力	千力
千勝	千勝
千北	千北
千千和	千千和
千千松	千千松
千千波	千千波
千千石	千千石
千千輪	千千輪
千原	千原
千口	千口
千古	千古
千台	千台
千司	千司
千合	千合
千吉良	千吉良
千同	千同
千名	千名
千名原	千名原
千味	千味
千品	千品
千喜田	千喜田
千喜良	千喜良
千国	千国
千國	千國
千土	千土
千地	千地
千地丸	千地丸
千地岩	千地岩
千坂	千坂
千坊	千坊
千垣内	千垣内
千城	千城
千埜	千埜
千堂	千堂
千場	千場
千塚	千塚
千塲	千塲
千壽	千壽
千多	千多
千守	千守
千安	千安
千室	千室
千家	千家
千寺丸	千寺丸
千寿	千寿
千尋	千尋
千尺	千尺
千尾	千尾
千屋	千屋
千山	千山
千島	千島
千崎	千崎
千嵐	千嵐
千嵜	千嵜
千嶋	千嶋
千嶌	千嶌
千巌	千巌
千巖	千巖
千川	千川
千川原	千川原
千巣	千巣
千布	千布
千年	千年
千年原	千年原
千年屋	千年屋
千広	千広
千廣	千廣
千引	千引
千後	千後
千後滝	千後滝
千後瀧	千後瀧
千徳	千徳
千応山	千応山
千應山	千應山
千成	千成
千戝	千戝
千房	千房
千手	千手
千手間	千手間
千才	千才
千把	千把
千抦	千抦
千振	千振
千斛	千斛
千日	千日
千日坂	千日坂
千旦	千旦
千早	千早
千明	千明
千星	千星
千智岩	千智岩
千智松	千智松
千曳	千曳
千月	千月
千木	千木
千木崎	千木崎
千木穂	千木穂
千木良	千木良
千木里	千木里
千木野	千木野
千本	千本
千本木	千本木
千本松	千本松
千朿	千朿
千杉	千杉
千村	千村
千束	千束
千条	千条
千東	千東
千松	千松
千林	千林
千枝	千枝
千柄	千柄
千根	千根
千桐	千桐
千桜	千桜
千桝	千桝
千條	千條
千棒	千棒
千森	千森
千檀	千檀
千櫻	千櫻
千正	千正
千歩	千歩
千歳	千歳
千歳丸	千歳丸
千水	千水
千江	千江
千沢	千沢
千沢口	千沢口
千河	千河
千治松	千治松
千波	千波
千津井	千津井
千浜	千浜
千浦	千浦
千海	千海
千滝	千滝
千澤	千澤
千澤口	千澤口
千濱	千濱
千烝	千烝
千焏	千焏
千熊	千熊
千玉	千玉
千生	千生
千田	千田
千田口	千田口
千田谷	千田谷
千町	千町
千畑	千畑
千疋	千疋
千登勢	千登勢
千百松	千百松
千盤	千盤
千目	千目
千眼	千眼
千矢	千矢
千知	千知
千知岩	千知岩
千知松	千知松
千知波	千知波
千石	千石
千石谷	千石谷
千神	千神
千福	千福
千福地	千福地
千秋	千秋
千種	千種
千穐	千穐
千竃	千竃
千竈	千竈
千竜	千竜
千端	千端
千笠	千笠
千管	千管
千籐	千籐
千絛	千絛
千綾	千綾
千綿	千綿
千羽	千羽
千股	千股
千能	千能
千脇	千脇
千舘	千舘
千舩	千舩
千船	千船
千艘	千艘
千良	千良
千色	千色
千艸	千艸
千苅	千苅
千草	千草
千菅	千菅
千菊	千菊
千葉	千葉
千葉井	千葉井
千葉原	千葉原
千葉山	千葉山
千葉崎	千葉崎
千葉東	千葉東
千葉桜	千葉桜
千葉櫻	千葉櫻
千蒲	千蒲
千蔵	千蔵
千藏	千藏
千藤	千藤
千虎	千虎
千行	千行
千装	千装
千見寺	千見寺
千覚原	千覚原
千谷	千谷
千貝	千貝
千財	千財
千財丸	千財丸
千貫	千貫
千賀	千賀
千賀浦	千賀浦
千足	千足
千車	千車
千載	千載
千輝	千輝
千輪	千輪
千速	千速
千道	千道
千達	千達
千邑	千邑
千部	千部
千郷	千郷
千酌	千酌
千里	千里
千里久	千里久
千里内	千里内
千重	千重
千野	千野
千野原	千野原
千野根	千野根
千野田	千野田
千野辺	千野辺
千金	千金
千金楽	千金楽
千金良	千金良
千釜	千釜
千間	千間
千阪	千阪
千陽	千陽
千隝	千隝
千須和	千須和
千頭	千頭
千頭井	千頭井
千頭和	千頭和
千香	千香
千馬	千馬
千駄	千駄
千高	千高
千鳥	千鳥
千鶴	千鶴
千鹿野	千鹿野
千龍	千龍
千𥧄	千𥧄
升一	升一
南八重	南八重
南百瀬	南百瀬
参三	参三
古一	古一
古三庄	古三庄
古伊万里	古伊万里
古八	古八
古六	古六
古家一	古家一
可二生	可二生
合六	合六
吉八木	吉八木
吹一	吹一
味八木	味八木
善万	善万
喜三	喜三
四つ橋	四つ橋
四つ目	四つ目
四の宮	四の宮
四ケ所	四ケ所
四ケ浦	四ケ浦
四ケ田	四ケ田
四ケ谷	四ケ谷
四ケ野	四ケ野
四ツ井	四ツ井
四ツ井田	四ツ井田
四ツ倉	四ツ倉
四ツ分	四ツ分
四ツ塚	四ツ塚
四ツ家	四ツ家
四ツ居	四ツ居
四ツ屋	四ツ屋
四ツ岳	四ツ岳
四ツ島	四ツ島
四ツ嶋	四ツ嶋
四ツ嶽	四ツ嶽
四ツ役	四ツ役
四ツ木	四ツ木
四ツ村	四ツ村
四ツ柳	四ツ柳
四ツ橋	四ツ橋
四ツ永	四ツ永
四ツ滝	四ツ滝
四ツ瀧	四ツ瀧
四ツ田	四ツ田
四ツ目	四ツ目
四ツ碇	四ツ碇
四ツ谷	四ツ谷
四ツ路	四ツ路
四ツ車	四ツ車
四ツ辻	四ツ辻
四ツ釜	四ツ釜
四ツ門	四ツ門
四ツ関	四ツ関
四ノ原	四ノ原
四ノ宮	四ノ宮
四七	四七
四万村	四万村
四万田	四万田
四下	四下
四丸	四丸
四丹	四丹
四之宮	四之宮
四井	四井
四井田	四井田
四伊	四伊
四位	四位
四位例	四位例
四住	四住
四作	四作
四俣	四俣
四俵	四俵
四倉	四倉
四元	四元
四冨	四冨
四分谷	四分谷
四十万谷	四十万谷
四十九院	四十九院
四十井	四十井
四十住	四十住
四十八願	四十八願
四十内	四十内
四十坊	四十坊
四十塚	四十塚
四十宮	四十宮
四十山	四十山
四十岡	四十岡
四十崎	四十崎
四十川	四十川
四十木	四十木
四十本	四十本
四十栄	四十栄
四十榮	四十榮
四十沢	四十沢
四十洲	四十洲
四十澤	四十澤
四十物	四十物
四十物谷	四十物谷
四十田	四十田
四十竹	四十竹
四十萬谷	四十萬谷
四十谷	四十谷
四十野	四十野
四反田	四反田
四国	四国
四國	四國
四坂	四坂
四坊	四坊
四垂	四垂
四堂	四堂
四塚	四塚
四夷	四夷
四女野	四女野
四季	四季
四宅	四宅
四宮	四宮
四宮田	四宮田
四家	四家
四家井	四家井
四富	四富
四尺	四尺
四尾	四尾
四居	四居
四屋	四屋
四山	四山
四岡	四岡
四島	四島
四嶋	四嶋
四川	四川
四平	四平
四広	四広
四度	四度
四廣	四廣
四役	四役
四徳	四徳
四恩	四恩
四戸	四戸
四戸岸	四戸岸
四手	四手
四手井	四手井
四折	四折
四斉谷	四斉谷
四斎谷	四斎谷
四斗	四斗
四斗辺	四斗辺
四斗邊	四斗邊
四方	四方
四方伝	四方伝
四方城	四方城
四方堂	四方堂
四方天	四方天
四方山	四方山
四方川	四方川
四方田	四方田
四方谷	四方谷
四方路	四方路
四日市	四日市
四日谷	四日谷
四月朔日	四月朔日
四木	四木
四本	四本
四本木	四本木
四本松	四本松
四杉	四杉
四村	四村
四条	四条
四林	四林
四枚田	四枚田
四枝	四枝
四柳	四柳
四栗	四栗
四條	四條
四橋	四橋
四歩一	四歩一
四氏	四氏
四水	四水
四沢	四沢
四津	四津
四津井	四津井
四津川	四津川
四津田	四津田
四津谷	四津谷
四浦	四浦
四海	四海
四淵	四淵
四渕	四渕
四潟	四潟
四澤	四澤
四熊	四熊
四牟田	四牟田
四王天	四王天
四田	四田
四町田	四町田
四畑	四畑
四畝町	四畝町
四登	四登
四百刈	四百刈
四百田	四百田
四百目	四百目
四百苅	四百苅
四目忠	四目忠
四碇	四碇
四礼	四礼
四禮	四禮
四竃	四竃
四竈	四竈
四童子	四童子
四篠	四篠
四籐	四籐
四維	四維
四脇	四脇
四至本	四至本
四良丸	四良丸
四茂野	四茂野
四葉	四葉
四蔵	四蔵
四藏	四藏
四藤	四藤
四衢	四衢
四角	四角
四角目	四角目
四谷	四谷
四越	四越
四車	四車
四軒家	四軒家
四軒町	四軒町
四辻	四辻
四通	四通
四通田	四通田
四道	四道
四達	四達
四邨	四邨
四郎丸	四郎丸
四郎園	四郎園
四郎田	四郎田
四重田	四重田
四野	四野
四野宮	四野宮
四野見	四野見
四釜	四釜
四鈴	四鈴
四鏡	四鏡
四門	四門
四間	四間
四間丁	四間丁
四関	四関
四阿	四阿
四静	四静
四飯	四飯
四馬田	四馬田
四鬼	四鬼
四鹿	四鹿
四齊谷	四齊谷
国ノ十	国ノ十
國ノ十	國ノ十
圓一	圓一
土一	土一
坂三	坂三
坂八	坂八
坂千代	坂千代
城一	城一
堀一	堀一
堂七	堂七
堂八	堂八
堂六	堂六
堰八	堰八
塚八	塚八
塩三	塩三
増百	増百
夏八木	夏八木
大万	大万
大三	大三
大三和	大三和
大三島	大三島
大三川	大三川
大三輪	大三輪
大九	大九
大二	大二
大五	大五
大八児	大八児
大八木	大八木
大六	大六
大六野	大六野
大千里	大千里
大四	大四
大志万	大志万
天一	天一
奇二	奇二
奥一	奥一
妙一	妙一
孫八	孫八
孫六	孫六
宅万	宅万
守一	守一
安千谷	安千谷
宗万	宗万
宮一	宮一
宮三	宮三
宮千代	宮千代
家千	家千
寺一	寺一
寺七	寺七
寺二	寺二
小一原	小一原
小万	小万
小三田	小三田
小三門	小三門
小二又	小二又
小二田	小二田
小二里	小二里
小八ケ代	小八ケ代
小八木	小八木
小八田	小八田
小八重	小八重
小六	小六
小千田	小千田
小千谷	小千谷
小四郎丸	小四郎丸
小椎八重	小椎八重
小田二	小田二
尺一	尺一
尾一	尾一
尾万	尾万
山一	山一
山七	山七
山三	山三
山二	山二
山八	山八
山六	山六
山千代	山千代
山百	山百
岡一	岡一
岡野一	岡野一
岩三	岩三
岩八重	岩八重
川七	川七
川九	川九
工一	工一
左三川	左三川
左衛門三郎	左衛門三郎
市万田	市万田
市六	市六
布一	布一
平八重	平八重
庄八	庄八
廿千	廿千
弐百免	弐百免
弥三川	弥三川
弥三谷	弥三谷
弥三須	弥三須
弥五	弥五
弥五郎丸	弥五郎丸
弥六	弥六
弥十郎	弥十郎
彌三川	彌三川
彌五郎丸	彌五郎丸
彌八	彌八
彌六	彌六
当六	当六
後一	後一
従二	従二
従二谷	従二谷
從二	從二
徳一	徳一
徳万	徳万
徳三	徳三
徳千代	徳千代
志万	志万
悪七	悪七
惣万	惣万
惣八	惣八
扇一	扇一
才一	才一
押三見	押三見
拾三原	拾三原
振五	振五
政二	政二
文殊四郎	文殊四郎
文珠四郎	文珠四郎
斉二	斉二
斉五沢	斉五沢
斎二	斎二
斎五沢	斎五沢
斎五澤	斎五澤
新九町	新九町
新二日市	新二日市
新八	新八
新四原	新四原
新歩一	新歩一
昼八	昼八
晝八	晝八
朝一	朝一
朝三	朝三
木一	木一
木三田	木三田
木佐一	木佐一
末一	末一
本九町	本九町
本二日市	本二日市
杉万	杉万
杉八合	杉八合
村万	村万
杢三	杢三
東一	東一
東一坊	東一坊
東一昉	東一昉
東万	東万
東三条	東三条
東九	東九
東九條	東九條
東二町	東二町
東五十川	東五十川
東八重	東八重
東四柳	東四柳
松一	松一
松七五三	松七五三
松三	松三
松二	松二
松八重	松八重
松千	松千
松四	松四
松百	松百
板八	板八
枡一	枡一
栗三	栗三
桝一	桝一
梅千野	梅千野
森一	森一
椎八重	椎八重
楠八重	楠八重
権八	権八
樫八重	樫八重
橘八重	橘八重
次六	次六
次郎万	次郎万
正一	正一
武一	武一
毛千	毛千
水六	水六
水四	水四
永一	永一
永二	永二
江六前	江六前
池一	池一
池三津	池三津
沖二	沖二
河二	河二
河千泰	河千泰
河千田	河千田
泉二	泉二
津九浦	津九浦
浜二	浜二
浜千代	浜千代
浜四津	浜四津
清三津	清三津
源九	源九
源五郎丸	源五郎丸
源六	源六
濱二	濱二
濱千代	濱千代
濱四津	濱四津
熊一	熊一
猪八重	猪八重
玉一	玉一
玉八	玉八
甚九	甚九
甚五	甚五
生一	生一
生三	生三
産一	産一
田一	田一
田万	田万
田万里	田万里
田二見	田二見
田二谷	田二谷
田千代	田千代
百々	百々
百々亀	百々亀
百々坂	百々坂
百々塚	百々塚
百々海	百々海
百々済	百々済
百々瀬	百々瀬
百々米木	百々米木
百々谷	百々谷
百々路	百々路
百々野	百々野
百丈	百丈
百上	百上
百中	百中
百丸	百丸
百井	百井
百代	百代
百元	百元
百冨	百冨
百出	百出
百刈	百刈
百勝	百勝
百北	百北
百千田	百千田
百南	百南
百原	百原
百合	百合
百合中	百合中
百合口	百合口
百合園	百合園
百合山	百合山
百合岡	百合岡
百合島	百合島
百合嶋	百合嶋
百合川	百合川
百合本	百合本
百合林	百合林
百合永	百合永
百合沢	百合沢
百合澤	百合澤
百合田	百合田
百合綱	百合綱
百合草	百合草
百合薗	百合薗
百合藤	百合藤
百合野	百合野
百合長	百合長
百名	百名
百地	百地
百坂	百坂
百坪	百坪
百垣	百垣
百堂	百堂
百塚	百塚
百家	百家
百富	百富
百寿	百寿
百尾	百尾
百山	百山
百岡	百岡
百岳	百岳
百島	百島
百崎	百崎
百嶋	百嶋
百川	百川
百市	百市
百師	百師
百度	百度
百引	百引
百成	百成
百我	百我
百戸	百戸
百春	百春
百木	百木
百木田	百木田
百木野	百木野
百本	百本
百村	百村
百束	百束
百松	百松
百枝	百枝
百橋	百橋
百次	百次
百武	百武
百歩	百歩
百毛	百毛
百永	百永
百江	百江
百沢	百沢
百治	百治
百津	百津
百浦	百浦
百海	百海
百済	百済
百渓	百渓
百溪	百溪
百澤	百澤
百濃	百濃
百濟	百濟
百瀬	百瀬
百生	百生
百田	百田
百町	百町
百畑	百畑
百留	百留
百百塚	百百塚
百目	百目
百目木	百目木
百目鬼	百目鬼
百相	百相
百石	百石
百積	百積
百竹	百竹
百花	百花
百萬	百萬
百衣	百衣
百谷	百谷
百貫	百貫
百足	百足
百足山	百足山
百軒	百軒
百道	百道
百部	百部
百都	百都
百里	百里
百野	百野
百長	百長
百間	百間
百間田	百間田
百間谷	百間谷
百雲	百雲
百鬼	百鬼
百鳥	百鳥
盛一	盛一
目七	目七
直一	直一
真一	真一
矢三	矢三
矢五田	矢五田
矢八	矢八
石三	石三
石五	石五
祖一	祖一
神一	神一
神八	神八
福一	福一
福万	福万
福三田	福三田
秋三	秋三
秋山八幡	秋山八幡
種五	種五
竒二	竒二
竜八	竜八
竹一	竹一
竹万	竹万
米一	米一
紀三井	紀三井
紺一	紺一
紺一向	紺一向
総三	総三
羽二塚	羽二塚
羽二木	羽二木
羽二生	羽二生
聞一	聞一
能一	能一
與一迫	與一迫
與三	與三
與三川	與三川
與三本	與三本
與三野	與三野
與五沢	與五沢
與五澤	與五澤
與四田	與四田
興五澤	興五澤
芝一	芝一
花八	花八
荒二井	荒二井
菊一	菊一
菊万	菊万
菊千	菊千
菖一	菖一
菰千葉	菰千葉
蔵五	蔵五
藏五	藏五
藤三	藤三
藤九	藤九
藤五	藤五
藤八	藤八
藤六	藤六
西万	西万
西二町	西二町
西五辻	西五辻
西八条	西八条
西八條	西八條
西四辻	西四辻
西阿十	西阿十
見一	見一
規矩一	規矩一
角一	角一
角七	角七
角三	角三
角二	角二
角五	角五
谷一	谷一
貮百免	貮百免
貳百免	貳百免
賀篭六	賀篭六
賀籠六	賀籠六
越三	越三
輿五澤	輿五澤
近万	近万
運万	運万
道三	道三
邑十	邑十
郷万	郷万
郷六	郷六
酒百	酒百
重三	重三
野一	野一
野一色	野一色
金一	金一
金七	金七
金万	金万
金三津	金三津
金五	金五
金田一	金田一
釜一	釜一
鉋六	鉋六
鍋九	鍋九
長一	長一
長三	長三
門三	門三
門三野	門三野
阿万	阿万
阿万瀬	阿万瀬
阿万田	阿万田
阿万野	阿万野
阿二	阿二
阿千輪	阿千輪
陣一	陣一
須一	須一
須百	須百
飯万島	飯万島
飾万	飾万
飾万津	飾万津
高一	高一
高二	高二
高三	高三
高三潴	高三潴
高三野	高三野
高八	高八
高八卦	高八卦
高八重	高八重
高千代	高千代
高千穂	高千穂
鬼ケ一	鬼ケ一
鬼一	鬼一
鬼十	鬼十
鹿篭六	鹿篭六
鹿籠六	鹿籠六
齋二	齋二
齋五澤	齋五澤
龍八	龍八